Condition,T1_Extraordinariness,T2_Extraordinariness,T1_Predicted_Curious,T2_Actual_Curious,T1_Predicted_Interest_Composite,T2_Actual_Interest_Composite,T2_Detailed,T2_Memory,Amount_Underestimated_Interest,T1_Ord_PredT2_Curious,T1_Ord_PredT2_Enjoy,T1_Ord_PredT2_Interesting,T1_Ord_PredT2_Meaningful,T1_Ord_PredT2_Surprise,T1_Ord_Extra,T1_Extra_PredT2_Curious,T1_Extra_PredT2_Enjoy,T1_Extra_PredT2_Interesting,T1_Extra_PredT2_Meaningful,T1_Extra_PredT2_Surprise,T1_Extra_Extraord,T2_Enjoy,T2_Meaningful,T2_Surprise,T2_Interesting,T1_Predicted_Interesting,Predicted_Enjoy,Predicted_Meaningful,Predicted_Surprise,Gender,Year,Age,filter_$,YOUNG.OLD
1,1,5,4,5,3.25,4.5,7,2,1.25,4,1,4,4,4,1,2,3,5,3,3,3,1,4,6,7,4,1,4,4,2,1992,22,1,0
1,3,2,2,2,2,1.5,2,13,-.5,2,2,2,2,2,3,2,1,6,2,4,2,1,1,1,3,6,2,2,2,1,1991,23,1,0
1,1,4,4,2,5,6.5,6,17,1.5,4,4,6,6,4,1,4,4,5,4,3,3,7,5,7,7,2,4,6,4,2,1988,26,1,1
1,1,3,1,2,2.25,4,7,40,1.75,1,2,3,2,2,1,2,2,5,5,2,2,2,2,5,7,5,2,2,2,1,1993,21,1,0
1,5,6,7,7,6.5,7,7,61,.5,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,1,7,7,5,2,1988,26,1,1
1,2,2,4,7,5.75,5.5,1,75,-.25,4,6,6,6,5,2,6,5,6,6,4,3,6,6,4,6,2,6,6,5,2,1993,21,1,0
1,2,5,4,4,4.25,5.5,3,29,1.25,4,4,6,4,3,2,4,4,4,5,2,5,5,5,6,6,2,4,4,3,2,1991,23,1,0
1,3,4,4,5,4,6,6,50,2,4,5,6,4,1,3,4,4,6,6,3,6,6,6,5,7,2,5,4,1,2,1988,26,1,1
1,4,5,3,4,3.75,5.25,4,83,1.5,3,3,5,5,2,4,4,5,7,5,1,5,6,6,2,7,3,3,5,2,1,1993,21,1,0
1,6,2,3,6,4.25,6,7,1,1.75,3,4,4,6,3,6,7,3,7,5,3,3,6,4,7,7,4,4,6,3,2,1992,22,1,0
1,3,4,5,6,4.75,5,4,5,.25,5,5,6,5,3,3,6,6,6,6,2,5,5,5,4,6,2,5,5,3,2,1992,22,1,0
1,1,4,2,4,1.75,4,4,67,2.25,2,2,3,1,1,1,2,2,3,2,2,2,4,4,4,4,5,2,1,1,2,1988,26,1,1
1,1,5,4,4,3.25,5.75,4,27,2.5,4,3,5,4,1,1,4,3,5,4,2,5,5,5,6,7,3,3,4,1,2,1982,32,1,1
1,3,5,6,4,5.75,4,7,29,-1.75,6,6,6,6,5,3,4,4,3,4,3,2,4,3,4,5,2,6,6,5,2,1988,26,1,1
1,5,3,2,5,3.75,4.5,2,11,.75,2,4,4,4,3,5,4,4,5,5,3,3,3,4,5,6,4,4,4,3,1,1994,20,1,0
1,5,6,5,4,4.5,5.5,6,15,1,5,5,5,5,3,5,6,6,6,4,3,5,6,4,6,6,3,5,5,3,1,1987,27,1,1
1,3,6,4,4,2.75,5,7,3,2.25,4,1,5,2,3,3,4,4,4,4,4,4,2,5,6,7,3,1,2,3,2,1992,22,1,0
1,1,4,3,4,3.5,4,4,29,.5,3,4,5,4,1,1,5,6,7,6,2,6,4,4,4,4,3,4,4,1,2,1993,21,1,0
1,5,5,5,6,5,5,5,87,0,5,5,5,6,4,5,6,5,6,5,2,5,5,6,3,6,3,5,6,4,1,1991,23,1,0
1,2,5,2,4,2.5,4.75,7,60,2.25,2,2,4,3,1,2,4,3,6,5,2,7,5,5,3,6,4,2,3,1,2,1990,24,1,0
1,4,4,6,5,5.25,5.5,6,74,.25,6,6,6,6,3,4,6,6,6,6,6,5,7,6,2,7,2,6,6,3,2,1990,24,1,0
1,5,3,6,2,4.25,5,5,2,.75,6,4,4,5,4,5,7,7,7,7,4,7,2,4,7,7,4,4,5,4,2,1992,22,1,0
1,2,2,3,5,5,3.75,4,10,-1.25,3,5,6,4,5,2,4,5,5,4,3,4,3,4,4,4,2,5,4,5,2,1994,20,1,0
1,1,5,2,2,2,5.5,4,32,3.5,2,2,2,2,2,1,3,3,5,3,2,3,5,6,6,5,6,2,2,2,2,1991,23,1,0
1,1,5,3,2,3.5,4.5,2,40,1,3,3,5,3,3,1,4,3,3,3,5,5,5,5,3,5,3,3,3,3,1,1988,26,1,1
1,2,2,4,5,4.5,4.5,4,15,0,4,5,2,6,5,2,4,6,3,5,2,5,5,4,6,3,6,5,6,5,2,1990,24,1,0
1,1,1,1,4,1.5,2.25,6,1,.75,1,1,1,2,2,1,4,3,7,3,2,4,2,1,4,2,7,1,2,2,1,1990,24,1,0
1,3,5,6,6,5,5.5,6,32,.5,6,6,6,6,2,3,5,6,7,6,2,5,7,6,3,6,2,6,6,2,1,1993,21,1,0
1,3,4,1,5,4.25,3.25,4,3,-1,1,6,6,3,2,3,2,1,2,2,3,5,3,5,3,2,2,6,3,2,1,1989,25,1,1
1,5,4,1,5,3,6.25,4,60,3.25,1,4,3,4,1,5,4,4,5,4,1,7,7,7,4,7,5,4,4,1,2,1993,21,1,0
1,5,4,2,1,5.5,4,4,35,-1.5,2,6,7,6,3,5,5,4,6,5,2,5,4,4,4,4,1,6,6,3,2,1988,26,1,1
1,3,4,4,4,3.5,2,4,27,-1.5,4,3,5,4,2,3,6,7,7,5,1,6,1,2,1,4,3,3,4,2,2,1988,26,1,1
1,1,1,4,4,3.5,3,4,79,-.5,4,4,7,2,1,1,3,4,6,3,2,3,3,3,1,5,1,4,2,1,2,1988,26,1,1
1,4,5,2,5,2.75,5.25,5,73,2.5,2,3,3,3,2,4,2,2,6,5,3,4,5,5,5,6,5,3,3,2,1,1987,27,1,1
1,2,4,4,4,4,4.75,5,30,.75,4,5,3,6,2,2,4,3,3,5,3,4,3,5,5,6,5,5,6,2,1,1992,22,1,0
1,3,5,4,4,4.75,6.75,4,50,2,4,5,7,6,1,3,4,6,7,6,6,4,7,7,6,7,1,5,6,1,2,1990,24,1,0
1,2,4,4,4,4.75,5.25,2,30,.5,4,5,6,5,3,2,4,4,6,4,2,4,6,4,5,6,2,5,5,3,2,1988,26,1,1
1,2,5,3,5,4,6,6,1,2,3,5,5,5,1,2,5,5,6,5,2,7,7,6,5,6,3,5,5,1,2,1988,26,1,1
1,3,3,5,5,4.75,6,5,12,1.25,5,6,6,5,2,3,3,5,6,5,3,4,6,6,6,6,2,6,5,2,2,1985,29,1,1
1,4,5,4,7,5.75,5.5,6,30,-.25,4,7,7,7,2,4,7,4,7,4,2,3,7,7,1,7,1,7,7,2,2,1989,25,1,1
1,2,3,4,5,3,2.75,4,81,-.25,4,1,6,2,3,2,4,3,5,5,1,2,4,3,1,3,2,1,2,3,2,1990,24,1,0
1,3,3,2,4,3.5,5.25,6,60,1.75,2,4,5,4,1,3,2,6,4,4,2,3,6,4,4,7,3,4,4,1,2,1988,26,1,1
1,4,4,3,6,3,4.25,5,48,1.25,3,2,3,3,4,4,3,5,6,2,5, ,5,3,4,5,5,2,3,4, ,1986,28,1,1
1,4,5,4,6,4.5,6,5,0,1.5,4,5,6,5,2,4,5,5,6,6,3,7,7,6,4,7,2,5,5,2,2,1993,21,1,0
1,2,3,5,5,4.5,2.5,3,30,-2,5,4,6,5,3,2,4,1,6,4,2,4,2,2,2,4,2,4,5,3,2,1973,41,1,1
1,3,3,4,4,3.5,5.25,5,4,1.75,4,4,5,4,1,3,4,4,4,4,3,3,6,5,4,6,3,4,4,1,2,1988,26,1,1
1,2,1,4,6,5.75,6.5,5,50,.75,4,5,6,6,6,2,6,6,7,7,7,5,7,7,6,6,2,5,6,6,1,1988,26,1,1
1,1,3,5,5,3.75,4.5,5,12,.75,5,5,4,5,1,1,5,5,5,5,3,3,5,5,2,6,4,5,5,1,2,1988,26,1,1
1,2,4,5,4,3.25,2.25,3,1,-1,5,5,3,3,2,2,5,5,5,5,5,6,3,1,3,2,5,5,3,2,1,1990,24,1,0
1,5,6,5,6,5.5,5.75,5,54,.25,5,7,7,6,2,5,5,4,6,5,4,4,6,6,4,7,1,7,6,2,2,1994,20,1,0
1,1,4,2,1,3.25,2.5,5,71,-.75,2,3,5,3,2,1,5,5,5,5,3,4,2,2,2,4,3,3,3,2,1,1995,19,1,0
1,4,5,6,3,5.5,4,4,14,-1.5,6,6,6,6,4,4,5,6,6,6,4,5,3,4,3,6,2,6,6,4,2,1991,23,1,0
1,1,2,2,2,3.75,4,4,30,.25,2,4,5,3,3,1,2,3,3,3,3,3,5,3,2,6,3,4,3,3,2,1992,22,1,0
1,2,4,4,5,3.5,4.75,6,30,1.25,4,3,5,3,3,2,4,6,7,4,3,3,5,5,3,6,3,3,3,3,2,1988,26,1,1
1,1,3,4,2,2.75,3.75,5,14,1,4,3,4,3,1,1,5,5,5,5,3,5,3,4,4,4,4,3,3,1,2,1988,26,1,1
1,2,4,4,4,5.5,4.25,2,57,-1.25,4,7,7,7,1,2,7,7,7,7,1,1,4,4,4,5,1,7,7,1,2,1994,20,1,0
1,2,4,4,4,4.25,3.5,5,51,-.75,4,5,5,5,2,2,5,5,7,6,3,6,4,3,3,4,3,5,5,2,2,1993,21,1,0
1,5,5,6,5,4.25,5.5,7,1,1.25,6,6,3,6,2,5,2,4,3,5,2,4,7,7,1,7,5,6,6,2,1,1989,25,1,1
1,4,5,4,6,4.25,6,5,40,1.75,4,4,6,3,4,4,4,6,7,3,3,5,6,6,5,7,2,4,3,4,2,1992,22,1,0
1,4,5,3,5,3.5,5,2,66,1.5,3,4,5,4,1,4,4,5,6,4,1,5,6,5,3,6,3,4,4,1,2,1987,27,1,1
1,2,3,4,6,4,6,3,41,2,4,4,4,6,2,2,5,5,7,6,4,5,7,7,4,6,4,4,6,2,2,1987,27,1,1
1,3,5,5,6,5.25,6,5,20,.75,5,6,6,5,4,3,5,5,6,6,3,4,6,6,5,7,2,6,5,4,2,1991,23,1,0
1,2,4,3,6,4.25,5,6,6,.75,3,4,6,3,4,2,2,2,4,2,2,1,5,5,5,5,2,4,3,4,1,1992,22,1,0
1,1,4,4,2,4.25,4,4,26,-.25,4,4,5,4,4,1,4,6,6,6,2,4,5,4,4,3,3,4,4,4,2,1988,26,1,1
2,4,4,4,3,4,4.25,3,40,.25,5,5,6,6,4,3,4,4,5,4,3,4,3,5,5,4,3,4,4,3,2,1994,20,1,0
2,2,3,3,2,3,3.75,3,40,.75,4,3,5,4,3,2,3,3,4,3,2,2,3,3,4,5,4,3,3,2,2,1988,26,1,1
2,7,6,5,4,5.5,6.5,6,32,1,3,5,4,5,2,2,5,5,7,6,4,7,7,7,5,7,1,5,6,4,2,1993,21,1,0
2,4,4,5,5,4.5,5.25,2,1,.75,4,5,7,4,4,1,5,5,7,5,1,4,6,5,3,7,1,5,5,1,2,1994,20,1,0
2,5,6,4,5,5,4,4,58,-1,5,4,4,5,4,3,4,5,6,5,4,5,4,4,3,5,2,5,5,4,1,1994,20,1,0
2,4,3,5,6,3.75,3.5,6,41,-.25,5,5,5,4,4,4,5,4,4,3,4,4,4,4,2,4,4,4,3,4,1,1988,26,1,1
2,6,5,5,4,4.5,4.5,5,69,0,4,5,5,5,3,4,5,5,4,6,3,6,5,5,3,5,4,5,6,3,2,1990,24,1,0
2,5,5,2,2,2,3.5,3,93,1.5,2,3,3,4,1,5,2,2,3,2,1,5,5,1,1,7,5,2,2,1,1,1983,31,1,1
2,5,5,1,2,1,1.25,3,11,.25,1,2,4,1,1,2,1,1,1,1,1,5,1,1,1,2,7,1,1,1,1,1990,24,1,0
2,5,5,4,4,3,4,4,74,1,4,1,5,4,1,5,4,2,6,2,2,5,1,4,4,7,2,2,2,2,2,1992,22,1,0
2,7,5,6,6,5,5.5,5,76,.5,6,7,7,7,2,5,6,6,6,6,2,7,6,6,5,5,2,6,6,2,1,1984,30,1,1
2,3,3,2,1,3.5,2.75,4,66,-.75,1,5,2,4,1,1,2,4,6,2,2,3,2,2,3,4,2,4,2,2,2,1988,26,1,1
2,5,5,4,5,3.5,4.5,2,35,1,3,4,4,4,4,1,4,3,4,4,3,5,4,4,5,5,4,3,4,3,2,1987,27,1,1
2,6,6,5,4,5,6,7,48,1,6,6,6,6,5,6,5,6,6,6,2,6,6,7,4,7,2,6,6,2,2,1988,26,1,1
2,3,4,1,6,3,4,3,10,1,3,3,5,4,3,4,1,3,5,3,1,3,4,5,4,3,3,3,3,1,2,1992,22,1,0
2,2,5,6,4,5,6.5,6,5,1.5,6,5,7,7,1,4,6,6,7,6,1,2,6,6,7,7,1,6,6,1,2,1982,32,1,1
2,5,5,3,3,4.25,5,5,22,.75,4,3,4,5,2,3,3,5,4,5,3,5,4,5,5,6,4,5,5,3,2,1994,20,1,0
2,4,5,7,7,6,6.25,6,22,.25,6,7,7,7,3,2,7,7,7,7,3,4,7,7,4,7,1,7,7,3,1,1991,23,1,0
2,3,5,4,6,5.5,5.5,4,36,0,5,5,7,6,3,3,4,6,7,6,3,3,6,6,3,7,1,6,6,3,1,1990,24,1,0
2,4,5,5,4,4.5,4.75,4,40,.25,6,6,7,6,2,5,5,5,6,5,2,4,6,5,2,6,2,5,5,2,1,1993,21,1,0
2,5,5,3,6,4,4.75,7,29,.75,2,5,5,6,1,1,3,5,4,6,1,5,5,6,2,6,4,5,6,1,2,1992,22,1,0
2,5,6,4,3,2.75,2,2,84,-.75,3,4,3,4,3,3,4,2,4,3,2,5,2,2,2,2,4,2,3,2,2,1988,26,1,1
2,4,5,4,4,4.25,4.25,3,57,0,4,5,5,5,4,2,4,4,5,4,4,4,4,4,4,5,3,4,4,4,2,1987,27,1,1
2,5,4,4,4,4.75,3.75,5,68,-1,4,7,7,5,5,7,4,5,4,5,5,5,3,3,4,5,4,5,5,5,2,1988,26,1,1
2,1,2,4,2,4.5,4.25,5, ,-.25,7,1,7,6,5,4,4,4,3,6,5,1,4,5,3,5,5,4,6,5,2,1992,22,1,0
2,5,5,5,5,4.75,5.25,4,36,.5,4,2,2,2,5,2,5,5,6,6,2,5,5,5,6,5,2,5,6,2,1,1993,21,1,0
2,5,6,3,2,2.5,2.5,4,46,0,4,4,4,1,1,4,3,2,4,2,2,5,2,2,2,4,4,2,2,2,1,1993,21,1,0
2,6,4,6,4,4,3.5,5,70,-.5,6,7,7,6,5,5,6,4,3,5,4,6,4,3,3,4,5,4,5,4,2,1991,23,1,0
2,4,3,5,5,5.5,5.25,3,50,-.25,6,6,5,6,4,4,5,5,5,6,6,4,6,6,3,6,3,5,6,6,2,1989,25,1,1
2,4,4,4,2,4.5,4,4,33,-.5,3,6,4,1,4,2,4,2,6,5,5,4,3,4,4,5,2,2,5,5,2,1980,34,1,1
2,4,4,4,5,4.75,5.25,3,67,.5,5,4,7,4,5,4,4,4,7,4,4,4,5,4,5,7,1,4,4,4,2,1989,25,1,1
2,3,4,4,4,4,4.25,5,49,.25,4,4,5,4,3,2,4,4,5,4,3,3,5,4,3,5,3,4,4,3,2,1989,25,1,1
2,5,5,4,3,4,5.25,4,34,1.25,1,3,2,4,3,3,4,4,4,4,4,5,6,5,5,5,4,4,4,4,2,1992,22,1,0
2,5,5,7,7,5.5,6.25,5,63,.75,5,7,7,7,4,3,7,6,7,6,3,5,6,7,5,7,1,6,6,3,1,1992,22,1,0
2,4,5,4,4,4.25,5,5,99,.75,1,4,5,3,2,4,4,4,6,4,3,4,7,5,1,7,2,4,4,3,2,1992,22,1,0
2,2,5,4,3,3.5,3.25,5,40,-.25,1,7,1,4,1,2,4,3,3,3,5,2,2,3,3,5,5,3,3,5,1,1986,28,1,1
2,5,5,4,4,4.75,5.5,6,59,.75,4,5,5,5,2,2,4,5,6,5,3,5,6,7,2,7,2,5,5,3,2,1992,22,1,0
2,3,6,4,5,4.5,5.25,5,50,.75,4,5,5,5,3,2,4,5,7,4,2,3,5,5,5,6,1,5,4,2,2,1993,21,1,0
2,4,4,4,4,6,6,4,76,0,4,7,7,7,2,3,4,7,7,7,3,4,6,7,4,7,1,7,7,3,2,1993,21,1,0
2,3,4,3,2,2.25,5,6,2,2.75,2,2,2,2,2,4,3,3,3,2,1,3,4,5,5,6,5,3,2,1,2,1988,26,1,1
2,3,6,3,5,4,4.25,2,15,.25,6,5,6,4,4,5,3,5,3,4,4,3,5,4,5,3,5,5,4,4,2,1988,26,1,1
2,4,2,5,5,4.75,4.25,3,35,-.5,4,4,5,4,3,4,5,4,6,5,4,4,6,4,5,2,2,4,5,4,2,1990,24,1,0
2,2,4,4,5,4.75,5.25,4,24,.5,2,4,3,5,3,4,4,5,6,6,2,2,5,5,5,6,2,5,6,2,2,1994,20,1,0
2,5,1,4,4,3.25,3.5,2,15,.25,4,4,4,3,3,2,4,3,4,3,3,5,4,4,3,3,4,3,3,3,2,1990,24,1,0
2,6,5,4,6,5,5,2,11,0,2,1,7,3,2,4,4,5,5,5,5,6,4,4,6,6,3,5,5,5,2,1993,21,1,0
2,6,4,5,4,4.5,4.5,4,37,0,3,5,3,5,2,5,5,5,5,5,3,6,4,5,4,5,3,5,5,3,1,1993,21,1,0
2,6,6,7,5,5.5,6,4,50,.5,4,6,7,6,1,2,7,7,7,7,1,6,7,7,3,7,1,7,7,1,2,1988,26,1,1
2,6,5,6,6,5.75,5.5,4,66,-.25,6,7,7,7,6,5,6,6,6,6,5,6,6,6,4,6,2,6,6,5,2,1987,27,1,1
2,4,4,7,4,5.5,4,4,54,-1.5,7,7,7,7,1,1,7,7,7,7,1,4,4,4,4,4,1,7,7,1,1,1980,34,1,1
2,5,4,6,5,4.75,5.75,4,100,1,6,7,7,7,1,4,6,6,6,6,1,5,7,7,2,7,2,6,6,1,2,1990,24,1,0
2,6,6,4,4,5.25,6.25,6,100,1,4,6,6,7,3,5,4,6,7,6,2,6,7,7,4,7,1,6,6,2,2,1994,20,1,0
2,5,2,5,7,5.5,5.75,5,90,.25,4,6,6,7,4,2,5,7,6,7,2,5,7,7,2,7,2,7,7,2,2,1988,26,1,1
2,2,4,4,4,4,4,4,34,0,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,1991,23,1,0
2,3,3,2,4,4,4.5,2,89,.5,4,5,4,5,4,5,2,3,4,5,4,3,4,4,6,4,4,3,5,4,1,1993,21,1,0
2,6,4,4,3,2.75,1.75,2,46,-1,1,1,5,1,1,1,4,2,5,2,2,6,1,1,1,4,3,2,2,2,2,1988,26,1,1
2,5,6,4,4,4,4.25,4,2,.25,2,4,5,2,2,2,4,4,6,4,2,5,2,4,5,6,2,4,4,2,2,1987,27,1,1
2,3,4,6,4,7,5.75,6,38,-1.25,6,7,4,6,6,3,6,7,7,7,7,3,5,7,6,5,1,7,7,7,2,1988,26,1,1
2,5,5,2,5,3.75,4,4,92,.25,4,5,5,5,1,5,2,2,6,5,2,5,2,6,2,6,2,2,5,2,2,1989,25,1,1
2,1,5,2,4,2.5,6.5,4,15,4,1,6,6,3,3,1,2,2,6,1,1,1,7,6,6,7,2,2,1,1,2,1988,26,1,1
2,5,5,4,5,4.5,5,5,88,.5,3,5,5,4,2,3,4,5,5,5,3,5,7,5,3,5,3,5,5,3,2,1987,27,1,1
2,5,7,4,6,5,5.25,7,0,.25,5,7,5,6,3,5,4,6,1,6,7,5,5,5,7,4,7,6,6,7,2,1993,21,1,0
2,4,4,7,4,7,4.75,2,5,-2.25,6,7,7,7,7,4,7,7,7,7,7,4,4,5,5,5,1,7,7,7,2,1993,21,1,0
2,3,5,4,4,3,4.5,6,27,1.5,4,2,2,4,2,1,4,3,3,4,2,3,4,4,5,5,5,3,4,2,2,1986,28,1,1
2,6,4,2,4,4.5,4.5,5,59,0,1,2,4,3,3,3,2,6,6,4,2,6,6,4,2,6,2,6,4,2,2,1990,24,1,0
2,4,3,4,3,5.5,4.25,4,73,-1.25,4,5,6,5,5,3,4,5,6,6,5,4,4,4,3,6,2,5,6,5,2,1988,26,1,1
2,6,5,6,7,5.5,6.25, , ,.75,6,6,7,6,4,6,6,6,6,6,4,6,7,7,5,6,2,6,6,4,1,1992,22,1,0
